Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Starting Annual Salary,Starting Hourly Rate,Part time
Librarian I,,"$58,249 ",$32.00 ,Yes
Librarian II,,"$63,292.35 ",$34.77 ,No
Librarian III,,"$68,454.99 ",$37.61 ,No
Custodial I,,"$37,574.10 ",$20.64 ,Yes
Sr. Library Clerk,,"$36,059.74 ",$19.81 ,Yes
Library Clerk,,"$32,279.69 ",$17.73 ,Yes
Network and Systems Tech,,"$58,823.02 ",$32.32 ,No
Security Guard ,,"$17,160 ",$22.00 ,Yes
Library Page,,"$13,650.00 ",$15.00 ,Yes
Assistant Library Director,,"$95,000.00 ",$45.67 ,No
Library Director,,"$125,000.00 ",$62.50 ,No